order_item_id,order_id,product_name,quantity,unit_price_at_order
1,1,Sona Masoori Rice 5kg,4.73,350
2,1,Basmati Rice 5kg,6.44,550
3,1,Wheat Flour (Atta) 5kg,4.99,250
4,1,Toor Dal 1kg,4.01,140
5,2,Sona Masoori Rice 5kg,4.2,393.69
6,2,Basmati Rice 5kg,4.4,550
7,2,Wheat Flour (Atta) 5kg,2.17,250
8,2,Toor Dal 1kg,4.41,140
9,3,Sona Masoori Rice 5kg,3.35,350
10,3,Wheat Flour (Atta) 5kg,5.2,250
11,3,Moong Dal 1kg,5.03,130
12,3,Rajma (Kidney Beans) 1kg,2.81,160
13,4,Sona Masoori Rice 5kg,4.02,350
14,4,Moong Dal 1kg,2.42,130
15,4,Rajma (Kidney Beans) 1kg,2.24,160
16,4,Turmeric Powder 200g,0.64,60
17,5,Rajma (Kidney Beans) 1kg,2.82,160
18,5,Turmeric Powder 200g,1.23,60
19,5,Garam Masala 100g,2.26,80
20,5,Biryani Masala 100g,0.72,100
21,6,Turmeric Powder 200g,1.13,60
22,6,Garam Masala 100g,1.48,92.63
23,6,Biryani Masala 100g,1.06,100
24,6,Almonds (Badam) 500g,0.84,450
25,7,Turmeric Powder 200g,1.3,60
26,7,Biryani Masala 100g,1.45,100
27,7,Almonds (Badam) 500g,0.73,450
28,7,Cashew Nuts (Kaju) 500g,0.51,550
29,8,Turmeric Powder 200g,0.9,60
30,8,Almonds (Badam) 500g,0.35,450
31,8,Cashew Nuts (Kaju) 500g,0.4,550
32,8,Peanuts (Groundnut) 500g,1.12,90
33,9,Cashew Nuts (Kaju) 500g,0.3,550
34,9,Peanuts (Groundnut) 500g,0.61,90
35,9,Sunflower Oil 1L,1.64,180
36,9,Groundnut Oil 1L,6.32,220
37,10,Cashew Nuts (Kaju) 500g,0.51,550
38,10,Peanuts (Groundnut) 500g,1.42,90
39,10,Sunflower Oil 1L,1.8,180
40,10,Mustard Oil 1L,0.91,200
41,11,Cashew Nuts (Kaju) 500g,0.28,550
42,11,Peanuts (Groundnut) 500g,0.88,90
43,11,Sunflower Oil 1L,1.55,180
44,11,Mustard Oil 1L,1.01,200
45,12,Peanuts (Groundnut) 500g,0.65,90
46,12,Sunflower Oil 1L,2.34,180
47,12,Mustard Oil 1L,1.35,200
48,12,Pure Ghee 1L,1.96,600
49,13,Peanuts (Groundnut) 500g,0.81,90
50,13,Sunflower Oil 1L,1.3,180
51,13,Mustard Oil 1L,0.8,200
52,13,Pure Ghee 1L,1.21,600
53,14,Sunflower Oil 1L,1.5,180
54,14,Mustard Oil 1L,0.61,200
55,14,Sugar 1kg,1.86,45
56,14,Jaggery (Bella/Gud) 1kg,1.95,70
57,15,Mustard Oil 1L,0.63,200
58,15,Sugar 1kg,1.19,45
59,15,Jaggery (Bella/Gud) 1kg,2.17,70
60,15,Iodized Salt 1kg,4.48,25
61,16,Sugar 1kg,2.15,45
62,16,Jaggery (Bella/Gud) 1kg,2.3,70
63,16,Iodized Salt 1kg,4.17,25
64,16,Rock Salt (Sendha Namak) 500g,1.42,40
65,17,Sugar 1kg,2.52,45
66,17,Jaggery (Bella/Gud) 1kg,2.71,70
67,17,Rock Salt (Sendha Namak) 500g,0.75,40
68,18,Sugar 1kg,1.45,45
69,18,Jaggery (Bella/Gud) 1kg,1.2,70
70,19,Jaggery (Bella/Gud) 1kg,1.61,70
71,20,Sona Masoori Rice 5kg,2.46,350
72,20,Basmati Rice 5kg,10.5,550
73,20,Wheat Flour (Atta) 5kg,2.4,275.52
74,20,Toor Dal 1kg,2.14,140
75,21,Sona Masoori Rice 5kg,1.93,350
76,21,Wheat Flour (Atta) 5kg,1.2,250
77,21,Toor Dal 1kg,1.87,140
78,21,Moong Dal 1kg,0.86,130
79,22,Sona Masoori Rice 5kg,3.65,350
80,22,Wheat Flour (Atta) 5kg,2.12,250
81,22,Toor Dal 1kg,1.74,118.66
82,22,Moong Dal 1kg,1.28,130
83,23,Sona Masoori Rice 5kg,2.14,350
84,23,Wheat Flour (Atta) 5kg,2.01,250
85,23,Toor Dal 1kg,2.42,140
86,23,Moong Dal 1kg,0.6,115.71
87,24,Sona Masoori Rice 5kg,4.89,350
88,24,Wheat Flour (Atta) 5kg,2.09,250
89,24,Moong Dal 1kg,1.44,130
90,24,Rajma (Kidney Beans) 1kg,2.55,160
91,25,Wheat Flour (Atta) 5kg,2.33,250
92,25,Moong Dal 1kg,1.24,130
93,25,Rajma (Kidney Beans) 1kg,2.72,160
94,25,Turmeric Powder 200g,3.0,60
95,26,Moong Dal 1kg,1.0,130
96,26,Rajma (Kidney Beans) 1kg,3.15,160
97,26,Turmeric Powder 200g,1.92,60
98,26,Garam Masala 100g,0.39,80
99,27,Garam Masala 100g,0.38,80
100,27,Biryani Masala 100g,0.9,100
101,27,Almonds (Badam) 500g,1.8,450
102,27,Cashew Nuts (Kaju) 500g,0.28,550
103,28,Garam Masala 100g,0.34,80
104,28,Biryani Masala 100g,0.59,100
105,28,Cashew Nuts (Kaju) 500g,0.34,550
106,28,Peanuts (Groundnut) 500g,1.82,90
107,29,Garam Masala 100g,0.43,80
108,29,Biryani Masala 100g,0.74,100
109,29,Cashew Nuts (Kaju) 500g,0.25,550
110,29,Peanuts (Groundnut) 500g,1.24,90
111,30,Garam Masala 100g,0.25,80
112,30,Biryani Masala 100g,0.63,100
113,30,Cashew Nuts (Kaju) 500g,0.43,627.66
114,30,Peanuts (Groundnut) 500g,0.89,90
115,31,Garam Masala 100g,0.19,80
116,31,Cashew Nuts (Kaju) 500g,0.35,550
117,31,Peanuts (Groundnut) 500g,1.33,90
118,31,Sunflower Oil 1L,10.62,180
119,32,Cashew Nuts (Kaju) 500g,0.43,550
120,32,Groundnut Oil 1L,2.38,220
121,32,Mustard Oil 1L,5.0,200
122,32,Pure Ghee 1L,0.45,600
123,33,Groundnut Oil 1L,1.38,220
124,33,Pure Ghee 1L,0.61,600
125,33,Sugar 1kg,3.99,45
126,33,Jaggery (Bella/Gud) 1kg,11.57,70
127,34,Groundnut Oil 1L,1.73,220
128,34,Pure Ghee 1L,0.47,600
129,34,Sugar 1kg,5.23,45
130,34,Iodized Salt 1kg,8.18,20.99
131,35,Pure Ghee 1L,0.54,600
132,35,Rock Salt (Sendha Namak) 500g,0.65,40
133,36,Pure Ghee 1L,0.55,600
134,36,Rock Salt (Sendha Namak) 500g,0.35,40
135,37,Pure Ghee 1L,0.37,600
136,37,Rock Salt (Sendha Namak) 500g,0.38,40
137,38,Rock Salt (Sendha Namak) 500g,0.72,40
138,39,Sona Masoori Rice 5kg,3.18,350
139,39,Basmati Rice 5kg,2.8,550
140,39,Wheat Flour (Atta) 5kg,4.6,250
141,39,Toor Dal 1kg,7.27,140
142,40,Sona Masoori Rice 5kg,2.12,350
143,40,Basmati Rice 5kg,3.49,550
144,40,Wheat Flour (Atta) 5kg,2.47,250
145,40,Moong Dal 1kg,1.63,130
146,41,Sona Masoori Rice 5kg,2.7,311.35
147,41,Basmati Rice 5kg,3.23,550
148,41,Wheat Flour (Atta) 5kg,4.5,250
149,41,Moong Dal 1kg,2.03,130
150,42,Sona Masoori Rice 5kg,2.22,350
151,42,Moong Dal 1kg,2.72,130
152,42,Rajma (Kidney Beans) 1kg,2.63,160
153,42,Turmeric Powder 200g,2.57,60
154,43,Sona Masoori Rice 5kg,2.13,350
155,43,Rajma (Kidney Beans) 1kg,1.02,160
156,43,Turmeric Powder 200g,1.11,60
157,43,Garam Masala 100g,0.45,80
158,44,Sona Masoori Rice 5kg,1.72,350
159,44,Rajma (Kidney Beans) 1kg,2.65,160
160,44,Turmeric Powder 200g,1.6,60
161,44,Garam Masala 100g,1.18,70.89
162,45,Rajma (Kidney Beans) 1kg,1.69,160
163,45,Garam Masala 100g,0.78,80
164,45,Biryani Masala 100g,3.29,100
165,45,Almonds (Badam) 500g,1.87,450
166,46,Cashew Nuts (Kaju) 500g,0.35,550
167,46,Peanuts (Groundnut) 500g,0.8,90
168,46,Sunflower Oil 1L,10.99,180
169,46,Groundnut Oil 1L,2.79,220
170,47,Cashew Nuts (Kaju) 500g,0.38,550
171,47,Peanuts (Groundnut) 500g,1.06,90
172,47,Groundnut Oil 1L,1.2,220
173,47,Mustard Oil 1L,1.1,200
174,48,Cashew Nuts (Kaju) 500g,0.43,550
175,48,Peanuts (Groundnut) 500g,0.96,90
176,48,Groundnut Oil 1L,2.3,220
177,48,Mustard Oil 1L,1.08,200
178,49,Cashew Nuts (Kaju) 500g,0.4,550
179,49,Peanuts (Groundnut) 500g,1.77,90
180,49,Mustard Oil 1L,0.77,200
181,49,Pure Ghee 1L,0.79,600
182,50,Cashew Nuts (Kaju) 500g,0.33,550
183,50,Mustard Oil 1L,0.73,200
184,50,Pure Ghee 1L,1.21,600
185,50,Sugar 1kg,4.14,45
186,51,Mustard Oil 1L,0.89,200
187,51,Pure Ghee 1L,1.12,600
188,51,Sugar 1kg,6.02,45
189,51,Jaggery (Bella/Gud) 1kg,5.55,70
190,52,Mustard Oil 1L,0.65,200
191,52,Jaggery (Bella/Gud) 1kg,2.13,70
192,52,Iodized Salt 1kg,2.43,25
193,52,Rock Salt (Sendha Namak) 500g,0.53,40
194,53,Jaggery (Bella/Gud) 1kg,3.41,70
195,53,Iodized Salt 1kg,2.39,25
196,53,Rock Salt (Sendha Namak) 500g,0.59,40
197,54,Iodized Salt 1kg,2.36,25
198,54,Rock Salt (Sendha Namak) 500g,0.6,40
199,55,Iodized Salt 1kg,2.56,25
200,55,Rock Salt (Sendha Namak) 500g,0.57,40
201,56,Sona Masoori Rice 5kg,16.23,350
202,56,Basmati Rice 5kg,9.21,550
203,56,Wheat Flour (Atta) 5kg,5.36,250
204,56,Toor Dal 1kg,1.93,140
205,57,Wheat Flour (Atta) 5kg,3.79,250
206,57,Toor Dal 1kg,1.9,140
207,57,Moong Dal 1kg,1.15,130
208,57,Rajma (Kidney Beans) 1kg,2.38,160
209,58,Wheat Flour (Atta) 5kg,1.85,250
210,58,Toor Dal 1kg,4.12,140
211,58,Moong Dal 1kg,0.89,130
212,58,Rajma (Kidney Beans) 1kg,1.96,160
213,59,Moong Dal 1kg,1.04,130
214,59,Rajma (Kidney Beans) 1kg,4.28,160
215,59,Turmeric Powder 200g,1.6,60
216,59,Garam Masala 100g,0.94,80
217,60,Moong Dal 1kg,1.5,130
218,60,Turmeric Powder 200g,0.77,60
219,60,Garam Masala 100g,0.58,80
220,60,Biryani Masala 100g,0.63,100
221,61,Moong Dal 1kg,1.84,130
222,61,Turmeric Powder 200g,1.26,60
223,61,Biryani Masala 100g,1.08,100
224,61,Almonds (Badam) 500g,1.0,450
225,62,Moong Dal 1kg,0.72,130
226,62,Turmeric Powder 200g,1.37,60
227,62,Biryani Masala 100g,1.03,100
228,62,Almonds (Badam) 500g,0.59,450
229,63,Biryani Masala 100g,0.47,100
230,63,Almonds (Badam) 500g,0.53,450
231,63,Cashew Nuts (Kaju) 500g,1.94,550
232,63,Peanuts (Groundnut) 500g,5.5,90
233,64,Sunflower Oil 1L,2.11,180
234,64,Groundnut Oil 1L,1.94,220
235,64,Mustard Oil 1L,0.66,200
236,64,Pure Ghee 1L,0.98,600
237,65,Sunflower Oil 1L,1.15,180
238,65,Groundnut Oil 1L,1.56,220
239,65,Mustard Oil 1L,1.15,200
240,65,Pure Ghee 1L,0.84,600
241,66,Sunflower Oil 1L,1.67,180
242,66,Groundnut Oil 1L,2.09,220
243,66,Mustard Oil 1L,1.31,200
244,66,Pure Ghee 1L,1.01,600
245,67,Sunflower Oil 1L,1.9,180
246,67,Mustard Oil 1L,1.27,200
247,67,Pure Ghee 1L,0.46,600
248,67,Sugar 1kg,10.42,45
249,68,Sunflower Oil 1L,1.35,215.85
250,68,Mustard Oil 1L,1.07,200
251,68,Jaggery (Bella/Gud) 1kg,2.27,70
252,68,Iodized Salt 1kg,2.05,25
253,69,Sunflower Oil 1L,1.29,209.63
254,69,Jaggery (Bella/Gud) 1kg,2.6,70
255,69,Iodized Salt 1kg,2.34,25
256,70,Jaggery (Bella/Gud) 1kg,1.66,70
257,70,Iodized Salt 1kg,1.41,25
258,71,Jaggery (Bella/Gud) 1kg,2.56,70
259,71,Iodized Salt 1kg,1.17,25
260,72,Jaggery (Bella/Gud) 1kg,2.14,70
261,72,Iodized Salt 1kg,1.87,25
262,73,Iodized Salt 1kg,0.87,25
263,74,Sona Masoori Rice 5kg,2.21,350
264,74,Basmati Rice 5kg,1.93,550
265,74,Wheat Flour (Atta) 5kg,12.89,250
266,74,Toor Dal 1kg,2.64,140
267,75,Sona Masoori Rice 5kg,2.92,350
268,75,Basmati Rice 5kg,2.4,550
269,75,Toor Dal 1kg,1.28,140
270,75,Moong Dal 1kg,2.91,130
271,76,Sona Masoori Rice 5kg,1.93,350
272,76,Basmati Rice 5kg,3.59,550
273,76,Toor Dal 1kg,1.39,140
274,76,Moong Dal 1kg,1.94,130
275,77,Sona Masoori Rice 5kg,3.69,350
276,77,Basmati Rice 5kg,2.46,550
277,77,Toor Dal 1kg,2.93,140
278,77,Moong Dal 1kg,2.15,130
279,78,Sona Masoori Rice 5kg,3.61,350
280,78,Rajma (Kidney Beans) 1kg,2.41,160
281,78,Turmeric Powder 200g,1.75,60
282,78,Garam Masala 100g,0.73,80
283,79,Rajma (Kidney Beans) 1kg,1.31,181.27
284,79,Turmeric Powder 200g,1.76,60
285,79,Garam Masala 100g,0.65,80
286,79,Biryani Masala 100g,3.05,85.99
287,80,Rajma (Kidney Beans) 1kg,2.06,160
288,80,Turmeric Powder 200g,1.02,60
289,80,Garam Masala 100g,0.56,80
290,80,Almonds (Badam) 500g,0.39,450
291,81,Rajma (Kidney Beans) 1kg,2.19,160
292,81,Garam Masala 100g,0.4,80
293,81,Almonds (Badam) 500g,0.72,450
294,81,Cashew Nuts (Kaju) 500g,2.03,550
295,82,Garam Masala 100g,0.31,80
296,82,Almonds (Badam) 500g,0.62,450
297,82,Peanuts (Groundnut) 500g,1.86,90
298,82,Sunflower Oil 1L,1.5,180
299,83,Garam Masala 100g,0.7,80
300,83,Almonds (Badam) 500g,0.3,450
301,83,Peanuts (Groundnut) 500g,1.13,90
